GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
activity,pt.ulisboa.tecnico.softeng.activity,Application,8,0,0,0,3,0,2,0,2,0
activity,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base,73,8,4,0,22,3,14,1,12,1
activity,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework.adt.bplustree,AbstractNodeArray_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework.adt.bplustree,LeafNode_Base.AdtLeafNodeHasSibling,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework.adt.bplustree,DomainBPlusTree_Base,38,0,0,0,16,0,8,0,8,0
activity,pt.ist.fenixframework.adt.bplustree,DomainLeafNode_Base,83,0,4,0,24,0,14,0,12,0
activity,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.LeafNodeArrayHasSibling,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base,73,8,4,0,22,3,14,1,12,1
activity,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base.DO_State,14,0,0,0,5,0,2,0,2,0
activity,pt.ist.fenixframework.adt.bplustree,DomainInnerNode_Base,83,0,4,0,24,0,14,0,12,0
activity,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
activity,pt.ist.fenixframework.adt.bplustree,LeafNode_Base,163,12,12,0,39,4,25,1,19,1
activity,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base.DO_State,14,0,0,0,5,0,2,0,2,0
activity,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base,73,8,4,0,22,3,14,1,12,1
activity,pt.ist.fenixframework.adt.bplustree,DomainBPlusTree_Base.DO_State,10,0,0,0,4,0,2,0,2,0
activity,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base.AdtNodeHasParent,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.DO_State,22,0,0,0,7,0,2,0,2,0
activity,pt.ist.fenixframework.adt.bplustree,DomainLeafNode_Base.DO_State,14,0,0,0,5,0,2,0,2,0
activity,pt.ist.fenixframework.adt.bplustree,AbstractNodeArray_Base,73,8,4,0,22,3,14,1,12,1
activity,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base.BPlusTreeArrayHasRootNode,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base.DO_State,14,0,0,0,5,0,2,0,2,0
