GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bank,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
bank,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base,73,8,4,0,22,3,14,1,12,1
bank,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
bank,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
bank,pt.ist.fenixframework.adt.bplustree,AbstractNodeArray_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
bank,pt.ist.fenixframework.adt.bplustree,LeafNode_Base.AdtLeafNodeHasSibling,0,7,0,0,0,1,0,1,0,1
bank,pt.ist.fenixframework.adt.bplustree,DomainBPlusTree_Base,38,0,0,0,16,0,8,0,8,0
bank,pt.ist.fenixframework.adt.bplustree,DomainLeafNode_Base,83,0,4,0,24,0,14,0,12,0
bank,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.LeafNodeArrayHasSibling,0,7,0,0,0,1,0,1,0,1
bank,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base,73,8,4,0,22,3,14,1,12,1
bank,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base.DO_State,14,0,0,0,5,0,2,0,2,0
bank,pt.ist.fenixframework.adt.bplustree,DomainInnerNode_Base,83,0,4,0,24,0,14,0,12,0
bank,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
bank,pt.ist.fenixframework.adt.bplustree,LeafNode_Base,163,12,12,0,39,4,25,1,19,1
bank,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base.DO_State,14,0,0,0,5,0,2,0,2,0
bank,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base,73,8,4,0,22,3,14,1,12,1
bank,pt.ist.fenixframework.adt.bplustree,DomainBPlusTree_Base.DO_State,10,0,0,0,4,0,2,0,2,0
bank,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base.AdtNodeHasParent,0,7,0,0,0,1,0,1,0,1
bank,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.DO_State,22,0,0,0,7,0,2,0,2,0
bank,pt.ist.fenixframework.adt.bplustree,DomainLeafNode_Base.DO_State,14,0,0,0,5,0,2,0,2,0
bank,pt.ist.fenixframework.adt.bplustree,AbstractNodeArray_Base,73,8,4,0,22,3,14,1,12,1
bank,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base.BPlusTreeArrayHasRootNode,0,7,0,0,0,1,0,1,0,1
bank,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base.DO_State,14,0,0,0,5,0,2,0,2,0
bank,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base.AdtBPlusTreeHasRootNode,0,7,0,0,0,1,0,1,0,1
bank,pt.ist.fenixframework.adt.bplustree,InnerNodeArray_Base,83,0,4,0,24,0,14,0,12,0
bank,pt.ist.fenixframework.adt.bplustree,InnerNodeArray_Base.DO_State,14,0,0,0,5,0,2,0,2,0
bank,pt.ist.fenixframework.adt.bplustree,InnerNode_Base.DO_State,14,0,0,0,5,0,2,0,2,0
bank,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base,163,12,12,0,39,4,25,1,19,1
bank,pt.ist.fenixframework.adt.bplustree,LeafNode_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
bank,pt.ist.fenixframework.adt.bplustree,LeafNode_Base.DO_State,22,0,0,0,7,0,2,0,2,0
bank,pt.ist.fenixframework.adt.bplustree,AbstractNodeArray_Base.DO_State,14,0,0,0,5,0,2,0,2,0
bank,pt.ist.fenixframework.adt.bplustree,LeafNode_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
bank,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
bank,pt.ist.fenixframework.adt.bplustree,InnerNode_Base,83,0,4,0,24,0,14,0,12,0
bank,pt.ist.fenixframework.adt.bplustree,DomainInnerNode_Base.DO_State,14,0,0,0,5,0,2,0,2,0
bank,pt.ist.fenixframework.adt.bplustree,AbstractNodeArray_Base.NodeArrayHasParent,0,7,0,0,0,1,0,1,0,1
bank,pt.ulisboa.tecnico.softeng.bank,Application,8,0,0,0,3,0,2,0,2,0
bank,pt.ulisboa.tecnico.softeng.bank.domain,Operation_Base.BankHasOperation,0,7,0,0,0,1,0,1,0,1
bank,pt.ulisboa.tecnico.softeng.bank.domain,Bank_Base.new RoleMany() {...},2,6,0,0,1,2,1,2,1,2
bank,pt.ulisboa.tecnico.softeng.bank.domain,Bank_Base.new RoleMany() {...},2,6,0,0,1,2,1,2,1,2
bank,pt.ulisboa.tecnico.softeng.bank.domain,Bank_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
bank,pt.ulisboa.tecnico.softeng.bank.domain,Bank_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
bank,pt.ulisboa.tecnico.softeng.bank.domain,Bank_Base.new RoleMany() {...},0,8,0,0,0,3,0,3,0,3
bank,pt.ulisboa.tecnico.softeng.bank.domain,Bank_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
bank,pt.ulisboa.tecnico.softeng.bank.domain,Bank_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
bank,pt.ulisboa.tecnico.softeng.bank.domain,Account_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
bank,pt.ulisboa.tecnico.softeng.bank.domain,Account_Base.new RoleMany() {...},2,6,0,0,1,2,1,2,1,2
bank,pt.ulisboa.tecnico.softeng.bank.domain,Account_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
bank,pt.ulisboa.tecnico.softeng.bank.domain,Account_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
bank,pt.ulisboa.tecnico.softeng.bank.domain,Account_Base,108,174,12,8,22,46,20,25,10,25
bank,pt.ulisboa.tecnico.softeng.bank.domain,Account_Base.DO_State,0,26,0,0,0,8,0,2,0,2
bank,pt.ulisboa.tecnico.softeng.bank.domain,Client,0,52,0,8,0,15,0,7,0,3
bank,pt.ulisboa.tecnico.softeng.bank.domain,Bank_Base,187,220,18,8,42,56,34,29,21,29
bank,pt.ulisboa.tecnico.softeng.bank.domain,Bank,106,213,17,41,25,49,17,26,6,8
bank,pt.ulisboa.tecnico.softeng.bank.domain,Operation,4,92,1,8,1,20,1,8,0,4
bank,pt.ulisboa.tecnico.softeng.bank.domain,Operation_Base.new RoleOne() {...},0,19,0,0,0,5,0,4,0,4
bank,pt.ulisboa.tecnico.softeng.bank.domain,Operation_Base.new RoleOne() {...},0,19,0,0,0,5,0,4,0,4
bank,pt.ulisboa.tecnico.softeng.bank.domain,Client_Base,99,142,12,6,21,38,19,20,10,20
bank,pt.ulisboa.tecnico.softeng.bank.domain,Client_Base.DO_State,0,22,0,0,0,7,0,2,0,2
bank,pt.ulisboa.tecnico.softeng.bank.domain,Operation_Base.DO_State,0,46,0,0,0,13,0,2,0,2
bank,pt.ulisboa.tecnico.softeng.bank.domain,Operation.new Object() {...},2,17,0,0,0,1,0,1,0,1
bank,pt.ulisboa.tecnico.softeng.bank.domain,Account,0,117,0,14,0,27,0,12,0,5
bank,pt.ulisboa.tecnico.softeng.bank.domain,Client_Base.new RoleMany() {...},0,8,0,0,0,3,0,3,0,3
bank,pt.ulisboa.tecnico.softeng.bank.domain,Client_Base.new RoleOne() {...},0,19,0,0,0,5,0,4,0,4
bank,pt.ulisboa.tecnico.softeng.bank.domain,Operation_Base,162,276,24,12,28,67,28,37,10,37
bank,pt.ulisboa.tecnico.softeng.bank.domain,Client_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
bank,pt.ulisboa.tecnico.softeng.bank.domain,Client_Base.ClientHasAccounts,0,7,0,0,0,1,0,1,0,1
bank,pt.ulisboa.tecnico.softeng.bank.domain,Operation.Type,0,29,0,0,0,2,0,2,0,2
bank,pt.ulisboa.tecnico.softeng.bank.domain,Client_Base.BankHasClients,0,7,0,0,0,1,0,1,0,1
bank,pt.ulisboa.tecnico.softeng.bank.domain,Operation_Base.AccountHasOperation,0,7,0,0,0,1,0,1,0,1
bank,pt.ulisboa.tecnico.softeng.bank.domain,Bank_Base.DO_State,0,26,0,0,0,8,0,2,0,2
bank,pt.ulisboa.tecnico.softeng.bank.domain,Bank_Base.BankHasAccounts,0,7,0,0,0,1,0,1,0,1
bank,pt.ist.fenixframework,ValueTypeSerializer,77,12,22,2,11,2,23,2,11,2
bank,pt.ist.fenixframework,DomainRoot_Base.DomainRootDomainFenixFrameworkRoot,0,7,0,0,0,1,0,1,0,1
bank,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base.DO_State,14,0,0,0,5,0,2,0,2,0
bank,pt.ist.fenixframework,DomainMetaObject_Base.DomainMetaObjectAbstractDomainObject,0,7,0,0,0,1,0,1,0,1
bank,pt.ist.fenixframework,DomainMetaClass_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
bank,pt.ist.fenixframework,DomainMetaClass_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
bank,pt.ist.fenixframework,DomainMetaClass_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
bank,pt.ist.fenixframework,DomainMetaObject_Base.DO_State,18,0,0,0,6,0,2,0,2,0
bank,pt.ist.fenixframework,DomainMetaClass_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
bank,pt.ist.fenixframework,DomainMetaClass_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
bank,pt.ist.fenixframework,DomainMetaClass_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
bank,pt.ist.fenixframework,DomainMetaClass_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
bank,pt.ist.fenixframework,DomainBPlusTreeData_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
bank,pt.ist.fenixframework,DomainMetaClass_Base.DomainMetaClassDeclaredConsistencyPredicates,0,7,0,0,0,1,0,1,0,1
bank,pt.ist.fenixframework,DomainRoot_Base.new RoleMany() {...},0,8,0,0,0,3,0,3,0,3
bank,pt.ist.fenixframework,DomainRoot_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
bank,pt.ist.fenixframework,DomainRoot_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
bank,pt.ist.fenixframework,DomainRoot_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
bank,pt.ist.fenixframework,DomainMetaObject_Base,232,31,16,0,58,9,40,1,32,1
bank,pt.ist.fenixframework,DomainMetaClass_Base,349,43,28,0,80,12,56,2,42,2
bank,pt.ist.fenixframework,DomainRoot_Base.DomainRootHasBankApplication,0,7,0,0,0,1,0,1,0,1
bank,pt.ist.fenixframework,DomainRoot_Base,108,85,12,0,28,23,20,11,14,11
bank,pt.ist.fenixframework,DomainMetaObject_Base.DomainMetaObjectsDomainMetaClass,0,7,0,0,0,1,0,1,0,1
bank,pt.ist.fenixframework,DomainBPlusTreeData_Base.DO_State,18,0,0,0,6,0,2,0,2,0
bank,pt.ist.fenixframework,DomainRoot_Base.DO_State,15,3,0,0,5,1,1,1,1,1
bank,pt.ist.fenixframework,DomainMetaClass_Base.DomainFenixFrameworkRootDomainMetaClasses,0,7,0,0,0,1,0,1,0,1
bank,pt.ist.fenixframework,DomainMetaClass_Base.DomainMetaSuperclassDomainMetaSubclasses,0,7,0,0,0,1,0,1,0,1
bank,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
bank,pt.ist.fenixframework,DomainMetaClass_Base.DO_State,30,0,0,0,9,0,2,0,2,0
