GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hotel,pt.ulisboa.tecnico.softeng.hotel.presentation,HotelController,88,0,0,0,20,0,5,0,5,0
hotel,pt.ulisboa.tecnico.softeng.hotel.presentation,RoomController,109,0,2,0,21,0,5,0,4,0
hotel,pt.ulisboa.tecnico.softeng.hotel.presentation,BookingController,135,0,2,0,22,0,5,0,4,0
hotel,pt.ulisboa.tecnico.softeng.hotel.services.local,HotelInterface.callable.createBooking,21,0,0,0,0,0,2,0,2,0
hotel,pt.ulisboa.tecnico.softeng.hotel.services.local,HotelInterface.callable.getRoomBookingData,0,10,0,0,0,0,0,2,0,2
hotel,pt.ulisboa.tecnico.softeng.hotel.services.local,HotelInterface.callable.getHotels,5,0,0,0,0,0,2,0,2,0
hotel,pt.ulisboa.tecnico.softeng.hotel.services.local,HotelInterface.callable.reserveRoom,10,0,0,0,0,0,2,0,2,0
hotel,pt.ulisboa.tecnico.softeng.hotel.services.local,HotelInterface.callable.createRoom,16,0,0,0,0,0,2,0,2,0
hotel,pt.ulisboa.tecnico.softeng.hotel.services.local,HotelInterface.callable.getRoomDataByNumber,15,0,0,0,0,0,2,0,2,0
hotel,pt.ulisboa.tecnico.softeng.hotel.services.local,HotelInterface,128,176,8,6,18,13,19,10,15,7
hotel,pt.ulisboa.tecnico.softeng.hotel.services.local,HotelInterface.callable.createHotel,11,0,0,0,0,0,2,0,2,0
hotel,pt.ulisboa.tecnico.softeng.hotel.services.local,HotelInterface.callable.getHotelDataByCode,10,0,0,0,0,0,2,0,2,0
hotel,pt.ulisboa.tecnico.softeng.hotel.services.local,HotelInterface.callable.bulkBooking,0,35,0,0,0,0,0,2,0,2
hotel,pt.ulisboa.tecnico.softeng.hotel.services.local,HotelInterface.callable.deleteHotels,6,0,0,0,0,0,2,0,2,0
hotel,pt.ulisboa.tecnico.softeng.hotel.services.local,HotelInterface.callable.cancelBooking,0,10,0,0,0,0,0,2,0,2
hotel,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base,73,8,4,0,22,3,14,1,12,1
hotel,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework.adt.bplustree,AbstractNodeArray_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework.adt.bplustree,LeafNode_Base.AdtLeafNodeHasSibling,0,7,0,0,0,1,0,1,0,1
hotel,pt.ist.fenixframework.adt.bplustree,DomainBPlusTree_Base,38,0,0,0,16,0,8,0,8,0
hotel,pt.ist.fenixframework.adt.bplustree,DomainLeafNode_Base,83,0,4,0,24,0,14,0,12,0
hotel,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.LeafNodeArrayHasSibling,0,7,0,0,0,1,0,1,0,1
hotel,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base,73,8,4,0,22,3,14,1,12,1
hotel,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base.DO_State,14,0,0,0,5,0,2,0,2,0
hotel,pt.ist.fenixframework.adt.bplustree,DomainInnerNode_Base,83,0,4,0,24,0,14,0,12,0
hotel,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework.adt.bplustree,LeafNode_Base,163,12,12,0,39,4,25,1,19,1
hotel,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base.DO_State,14,0,0,0,5,0,2,0,2,0
hotel,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base,73,8,4,0,22,3,14,1,12,1
hotel,pt.ist.fenixframework.adt.bplustree,DomainBPlusTree_Base.DO_State,10,0,0,0,4,0,2,0,2,0
hotel,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base.AdtNodeHasParent,0,7,0,0,0,1,0,1,0,1
hotel,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.DO_State,22,0,0,0,7,0,2,0,2,0
hotel,pt.ist.fenixframework.adt.bplustree,DomainLeafNode_Base.DO_State,14,0,0,0,5,0,2,0,2,0
hotel,pt.ist.fenixframework.adt.bplustree,AbstractNodeArray_Base,73,8,4,0,22,3,14,1,12,1
hotel,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base.BPlusTreeArrayHasRootNode,0,7,0,0,0,1,0,1,0,1
hotel,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base.DO_State,14,0,0,0,5,0,2,0,2,0
hotel,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base.AdtBPlusTreeHasRootNode,0,7,0,0,0,1,0,1,0,1
hotel,pt.ist.fenixframework.adt.bplustree,InnerNodeArray_Base,83,0,4,0,24,0,14,0,12,0
hotel,pt.ist.fenixframework.adt.bplustree,InnerNodeArray_Base.DO_State,14,0,0,0,5,0,2,0,2,0
hotel,pt.ist.fenixframework.adt.bplustree,InnerNode_Base.DO_State,14,0,0,0,5,0,2,0,2,0
hotel,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base,163,12,12,0,39,4,25,1,19,1
hotel,pt.ist.fenixframework.adt.bplustree,LeafNode_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework.adt.bplustree,LeafNode_Base.DO_State,22,0,0,0,7,0,2,0,2,0
hotel,pt.ist.fenixframework.adt.bplustree,AbstractNodeArray_Base.DO_State,14,0,0,0,5,0,2,0,2,0
hotel,pt.ist.fenixframework.adt.bplustree,LeafNode_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework.adt.bplustree,InnerNode_Base,83,0,4,0,24,0,14,0,12,0
hotel,pt.ist.fenixframework.adt.bplustree,DomainInnerNode_Base.DO_State,14,0,0,0,5,0,2,0,2,0
hotel,pt.ist.fenixframework.adt.bplustree,AbstractNodeArray_Base.NodeArrayHasParent,0,7,0,0,0,1,0,1,0,1
hotel,pt.ulisboa.tecnico.softeng.hotel,Application,8,0,0,0,3,0,2,0,2,0
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Room.Type,0,29,0,0,0,2,0,2,0,2
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Processor_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Processor_Base.new RoleMany() {...},0,8,0,0,0,3,0,3,0,3
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Processor_Base.new RoleOne() {...},0,19,0,0,0,5,0,4,0,4
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Room_Base,101,142,12,6,21,38,19,20,10,20
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Processor_Base,49,106,6,4,11,32,11,16,6,16
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Booking_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Booking_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Processor_Base.HotelHasProcessor,0,7,0,0,0,1,0,1,0,1
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Booking_Base.DO_State,0,82,0,0,0,22,0,2,0,2
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Booking_Base,322,480,47,19,57,105,53,62,20,62
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Room_Base.HotelHasRooms,0,7,0,0,0,1,0,1,0,1
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Room,7,141,2,32,2,34,2,21,0,6
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Processor_Base.ProcessorManagesHotelBookings,0,7,0,0,0,1,0,1,0,1
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Hotel,141,403,26,72,25,87,25,49,8,17
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Hotel_Base.DO_State,0,46,0,0,0,13,0,2,0,2
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Room_Base.new RoleMany() {...},0,8,0,0,0,3,0,3,0,3
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Room_Base.new RoleOne() {...},0,19,0,0,0,5,0,4,0,4
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Room_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Processor,0,155,2,14,0,46,2,11,0,5
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Booking,4,218,5,37,1,45,5,23,0,7
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Hotel_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Hotel_Base.new RoleMany() {...},2,6,0,0,1,2,1,2,1,2
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Hotel_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Hotel_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Hotel_Base,179,302,21,11,35,73,30,41,14,41
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Room_Base.RoomHasBookings,0,7,0,0,0,1,0,1,0,1
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Processor_Base.DO_State,0,14,0,0,0,5,0,2,0,2
hotel,pt.ulisboa.tecnico.softeng.hotel.domain,Room_Base.DO_State,0,22,0,0,0,7,0,2,0,2
hotel,pt.ist.fenixframework,ValueTypeSerializer,77,12,22,2,11,2,23,2,11,2
hotel,pt.ist.fenixframework,DomainRoot_Base.DomainRootDomainFenixFrameworkRoot,0,7,0,0,0,1,0,1,0,1
hotel,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base.DO_State,14,0,0,0,5,0,2,0,2,0
hotel,pt.ist.fenixframework,DomainMetaObject_Base.DomainMetaObjectAbstractDomainObject,0,7,0,0,0,1,0,1,0,1
hotel,pt.ist.fenixframework,DomainMetaClass_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
hotel,pt.ist.fenixframework,DomainMetaClass_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework,DomainMetaClass_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework,DomainMetaObject_Base.DO_State,18,0,0,0,6,0,2,0,2,0
hotel,pt.ist.fenixframework,DomainMetaClass_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
hotel,pt.ist.fenixframework,DomainMetaClass_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
hotel,pt.ist.fenixframework,DomainMetaClass_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
hotel,pt.ist.fenixframework,DomainMetaClass_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework,DomainBPlusTreeData_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework,DomainMetaClass_Base.DomainMetaClassDeclaredConsistencyPredicates,0,7,0,0,0,1,0,1,0,1
hotel,pt.ist.fenixframework,DomainRoot_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework,DomainRoot_Base.new RoleMany() {...},0,8,0,0,0,3,0,3,0,3
hotel,pt.ist.fenixframework,DomainRoot_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework,DomainRoot_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
hotel,pt.ist.fenixframework,DomainMetaObject_Base,232,31,16,0,58,9,40,1,32,1
hotel,pt.ist.fenixframework,DomainMetaClass_Base,349,43,28,0,80,12,56,2,42,2
hotel,pt.ist.fenixframework,DomainRoot_Base,108,85,12,0,28,23,20,11,14,11
hotel,pt.ist.fenixframework,DomainMetaObject_Base.DomainMetaObjectsDomainMetaClass,0,7,0,0,0,1,0,1,0,1
hotel,pt.ist.fenixframework,DomainBPlusTreeData_Base.DO_State,18,0,0,0,6,0,2,0,2,0
hotel,pt.ist.fenixframework,DomainRoot_Base.DO_State,15,3,0,0,5,1,1,1,1,1
hotel,pt.ist.fenixframework,DomainRoot_Base.DomainRootHasHotels,0,7,0,0,0,1,0,1,0,1
hotel,pt.ist.fenixframework,DomainMetaClass_Base.DomainFenixFrameworkRootDomainMetaClasses,0,7,0,0,0,1,0,1,0,1
hotel,pt.ist.fenixframework,DomainMetaClass_Base.DomainMetaSuperclassDomainMetaSubclasses,0,7,0,0,0,1,0,1,0,1
hotel,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
hotel,pt.ist.fenixframework,DomainMetaClass_Base.DO_State,30,0,0,0,9,0,2,0,2,0
hotel,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
hotel,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
hotel,pt.ist.fenixframework,DomainBPlusTreeJVSTM_Base,79,5,4,0,24,1,14,1,12,1
hotel,pt.ist.fenixframework,DomainBPlusTreeJVSTM_Base.DO_State,14,0,0,0,5,0,2,0,2,0
hotel,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base,110,35,8,0,29,10,19,6,15,6
hotel,pt.ist.fenixframework,DomainBPlusTreeData_Base,108,8,4,0,30,3,18,1,16,1
hotel,pt.ist.fenixframework,DomainMetaClass_Base.DomainMetaClassExistingDomainMetaObjects,0,7,0,0,0,1,0,1,0,1
