GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tax,pt.ulisboa.tecnico.softeng.tax,Application,8,0,0,0,3,0,2,0,2,0
tax,pt.ulisboa.tecnico.softeng.tax.services.remote,TaxRestController,72,0,0,0,13,0,4,0,4,0
tax,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base,73,8,4,0,22,3,14,1,12,1
tax,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework.adt.bplustree,AbstractNodeArray_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework.adt.bplustree,LeafNode_Base.AdtLeafNodeHasSibling,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework.adt.bplustree,DomainBPlusTree_Base,38,0,0,0,16,0,8,0,8,0
tax,pt.ist.fenixframework.adt.bplustree,DomainLeafNode_Base,83,0,4,0,24,0,14,0,12,0
tax,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.LeafNodeArrayHasSibling,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base,73,8,4,0,22,3,14,1,12,1
tax,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base.DO_State,14,0,0,0,5,0,2,0,2,0
tax,pt.ist.fenixframework.adt.bplustree,DomainInnerNode_Base,83,0,4,0,24,0,14,0,12,0
tax,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework.adt.bplustree,LeafNode_Base,163,12,12,0,39,4,25,1,19,1
tax,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base.DO_State,14,0,0,0,5,0,2,0,2,0
tax,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base,73,8,4,0,22,3,14,1,12,1
tax,pt.ist.fenixframework.adt.bplustree,DomainBPlusTree_Base.DO_State,10,0,0,0,4,0,2,0,2,0
tax,pt.ist.fenixframework.adt.bplustree,AbstractNode_Base.AdtNodeHasParent,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base.DO_State,22,0,0,0,7,0,2,0,2,0
tax,pt.ist.fenixframework.adt.bplustree,DomainLeafNode_Base.DO_State,14,0,0,0,5,0,2,0,2,0
tax,pt.ist.fenixframework.adt.bplustree,AbstractNodeArray_Base,73,8,4,0,22,3,14,1,12,1
tax,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base.BPlusTreeArrayHasRootNode,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base.DO_State,14,0,0,0,5,0,2,0,2,0
tax,pt.ist.fenixframework.adt.bplustree,BPlusTree_Base.AdtBPlusTreeHasRootNode,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework.adt.bplustree,InnerNodeArray_Base,83,0,4,0,24,0,14,0,12,0
tax,pt.ist.fenixframework.adt.bplustree,InnerNodeArray_Base.DO_State,14,0,0,0,5,0,2,0,2,0
tax,pt.ist.fenixframework.adt.bplustree,InnerNode_Base.DO_State,14,0,0,0,5,0,2,0,2,0
tax,pt.ist.fenixframework.adt.bplustree,LeafNodeArray_Base,163,12,12,0,39,4,25,1,19,1
tax,pt.ist.fenixframework.adt.bplustree,LeafNode_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework.adt.bplustree,LeafNode_Base.DO_State,22,0,0,0,7,0,2,0,2,0
tax,pt.ist.fenixframework.adt.bplustree,AbstractNodeArray_Base.DO_State,14,0,0,0,5,0,2,0,2,0
tax,pt.ist.fenixframework.adt.bplustree,LeafNode_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework.adt.bplustree,BPlusTreeArray_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework.adt.bplustree,InnerNode_Base,83,0,4,0,24,0,14,0,12,0
tax,pt.ist.fenixframework.adt.bplustree,DomainInnerNode_Base.DO_State,14,0,0,0,5,0,2,0,2,0
tax,pt.ist.fenixframework.adt.bplustree,AbstractNodeArray_Base.NodeArrayHasParent,0,7,0,0,0,1,0,1,0,1
tax,pt.ulisboa.tecnico.softeng.tax.domain,Seller_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
tax,pt.ulisboa.tecnico.softeng.tax.domain,TaxPayer_Base,84,133,12,6,16,35,16,19,7,19
tax,pt.ulisboa.tecnico.softeng.tax.domain,TaxPayer_Base.IRSHasTaxPayers,0,7,0,0,0,1,0,1,0,1
tax,pt.ulisboa.tecnico.softeng.tax.domain,Seller_Base,53,53,3,1,15,18,10,9,8,9
tax,pt.ulisboa.tecnico.softeng.tax.domain,TaxPayer_Base.new RoleOne() {...},0,19,0,0,0,5,0,4,0,4
tax,pt.ulisboa.tecnico.softeng.tax.domain,Seller_Base.new RoleMany() {...},0,8,0,0,0,3,0,3,0,3
tax,pt.ulisboa.tecnico.softeng.tax.domain,Invoice_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
tax,pt.ulisboa.tecnico.softeng.tax.domain,Invoice_Base.new RoleOne() {...},0,19,0,0,0,5,0,4,0,4
tax,pt.ulisboa.tecnico.softeng.tax.domain,Invoice_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
tax,pt.ulisboa.tecnico.softeng.tax.domain,IRS.callable.createIrs,0,5,0,0,0,0,0,2,0,2
tax,pt.ulisboa.tecnico.softeng.tax.domain,TaxPayer_Base.DO_State,0,26,0,0,0,8,0,2,0,2
tax,pt.ulisboa.tecnico.softeng.tax.domain,Invoice,0,126,0,14,0,37,0,13,0,6
tax,pt.ulisboa.tecnico.softeng.tax.domain,Seller,11,119,2,16,3,26,2,15,0,8
tax,pt.ulisboa.tecnico.softeng.tax.domain,ItemType_Base,93,140,9,5,21,39,17,20,10,20
tax,pt.ulisboa.tecnico.softeng.tax.domain,ItemType_Base.new RoleMany() {...},0,8,0,0,0,3,0,3,0,3
